title,author,type,audience,genre,faust_numbers,isbns,n_loans
Aspergers syndrom,Tony Attwood,Bog,"alment niveau,voksenmaterialer",psykiske udviklingsforstyrrelser,52916410;27299180;23388111;99122414131805763;20798807;112577599;99122023464905763,<NA>,2297
Forladt,Christina Vorre,Bog,"alment niveau,voksenmaterialer",danmark,53167705;51099826;28816375;51757939;53147011;99122061586505763,<NA>,1937
En overlevelsesguide for børn med ADHD,John F. Taylor,Bog,"folkeskoleniveau,børnematerialer",psykiske udviklingsforstyrrelser,28540337;53751261;99122711097705763,<NA>,1824
Snedronningen,H. C. Andersen (f. 1805),Bog,børnematerialer,eventyr,53761917;54570295;38827707;47892503;24889890;25325389;51595424;25870271;22882147;21384097;06280846;06755305;06328547;06792014;01122320;05653010;99122497875405763;22844083;26027438;06910491;22777637;21256773;99122553545105763;99122710442605763;99123331795205763;99122236446705763;99122270519405763;99122002684405763;25883594;24146014,<NA>,5018
Vandrefalk,Lars Gejl,Bog,"folkeskoleniveau,børnematerialer",rovfugle,46319184;46518284;25550293,<NA>,2439
Potensgiverne,Karin Brunk Holmqvist,Bog,voksenmaterialer,humor,27363091;53918808;99122422354605763,<NA>,1559
Krigsskibe,"Karsten Marrup,Søren Hemmingsen",Bog,"folkeskoleniveau,børnematerialer",krigsskibe,46747623;52550114;25370562,<NA>,1919
Fordelene ved at være en bænkevarmer,Stephen Chbosky,Bog,"børnematerialer,voksenmaterialer",brevromaner,50810992;46370414;51496507,<NA>,1506
Mennesket i hjernen,Kjeld Fredens,Bog,"fagligt niveau,voksenmaterialer",hjerneskadede og psykotikere,29182914;25369378;99122440739405763;99122350403505763,<NA>,1367
Sirile gentlemen søges,Karin Brunk Holmqvist,Bog,voksenmaterialer,humor,28237391;29730040;53589588,<NA>,1541
Klinisk lederskab,,Bog,"fagligt niveau,voksenmaterialer",sygepleje,54056389;135455733;99122145430605763;99124473899105763;9920749873505762;991000909312703861,<NA>,1435
Arsenal,Tommy Heisz,Bog,"folkeskoleniveau,børnematerialer",boldklubber i alm.,54260350;39445395;27940412;99122349011705763,<NA>,2028
Ulven i Banja Luka,Jens Henrik Jensen (f. 1963),Bog,voksenmaterialer,spænding,51259955;24294757;25742834;53217478;24904601;99122737314405763,<NA>,1822
Hildegard. Bind 2,Anne Lise Marstrand-Jørgensen,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",28452454;61392106;45251357;99123888858305763__1,<NA>,1464
Thailand,Austin Bush,Bog,"alment niveau,voksenmaterialer",thailand,46589246;27075673;61491643;39321866;54181701;26916933;45832791;61496017;25978021;24994643;47412323;55122156;45192172;45576507;29198586;24725537;45370984;24233340;26559855;44981912;44710676;45328244;25768078;45270750;21614890;44009870;21819417;07312164;838729;45871053;99121980223505763;99121912697705763;99121951663205763;44321904;44536501;43571982;43494198;99122452776005763,<NA>,2909
Engelsk-dansk ordbog,Jens Axelsen,Bog,"alment niveau,børnematerialer,voksenmaterialer",engelske ordbøger,28662653;24962172;22298666;21913367;21550833;21239143;06689345;21947911;07243332;05738016;29161364;20891041;99122020717705763;99122331957905763;99122778884405763;99122838180305763;99122782259305763;99122305235205763;99122020718705763;99122656813005763,<NA>,3002
Kvinde med modermærke,Håkan Nesser,Bog,voksenmaterialer,"krimi,politiromaner",27734332;21798843;99122614013505763;22374567,<NA>,1410
EM-fodbold,Emilie Tholstrup,Bog,"folkeskoleniveau,børnematerialer",fodbold,47830974;38987577,<NA>,1675
Turen går til Sydspanien,Jørgen Laurvig,Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter,29858969;28275714;99122001431105763;26820340;99122362294105763;99122578868205763;99122236855705763;23504553;99122893290205763;9920603153705762;9920657489605762,<NA>,1605
Deadline,Simon Kernick,Bog,voksenmaterialer,krimi,61367926;26216486;28641710;24324702;51614682;51390881;28414854;26677866;26926858;45270025;45442373;45424081;44375281;25246764;99122817161705763;99122180861805763;22900501;99122357756705763,<NA>,1554
Et eventyr,Stephen King (f. 1947),Bog,"børnematerialer,voksenmaterialer","eventyrlige fortællinger,spænding",62932651;47861586;28908377;45225186;10317614;29497524,<NA>,2476
Sommer,Ali Smith,Bog,voksenmaterialer,samfundskritik,39124688;53598471;53140742;62745649;52210941;25719786;21812773;22154389;22629816;20562811;00121789;135155888;23201313;136233599;08734984;01170430;21124362;29072590;22873113;21825778;24137821;99122863086905763;05618622;04378636;01520482;99122577442505763;40774203;99122870695405763;10087848;99122746334705763;99122962918805763;656594;99122577565905763;99122577329405763;99122577236905763;99122576976205763;23201348;99122650567905763;99122366804405763,<NA>,3970
Genforeningen 1920,Simon Kratholm Ankjærgaard,Bog,"alment niveau,voksenmaterialer",,47270278;47338689;39331802;04162323;07564872;99123834664305763,<NA>,1719
Op,Mette Holm (f. 1973),Bog,"alment niveau,voksenmaterialer",psykisk sundhed,48099602;27915086,<NA>,1790
Uhyrernes hav,Rick Riordan,Bog,børnematerialer,fantasy,51669959;28469292;50624226;99122629064905763,<NA>,2275
Da lille Ida skulle lave skarnsstreger,Astrid Lindgren,Bog,børnematerialer,"landliv,sjove bøger",51086775;06255396;136196502,<NA>,1573
På sporet af den tabte tid. Bind 1,Marcel Proust,Bog,voksenmaterialer,skønlitteratur,26562058;24004945;46227603;24479161;99122685207405763__1,<NA>,1809
Mit livs øjeblik,Cecelia Ahern,Bog,voksenmaterialer,chick lit,29882649;51332970;51265904,<NA>,2162
Grise,Eva Mosegaard Amdisen,Bog,"folkeskoleniveau,børnematerialer",svin,48707025;47830877;23814056;29618348;21668532;26634083;20116811;99122613987005763,<NA>,2926
De sataniske vers,Salman Rushdie,Bog,voksenmaterialer,"samfundskritik,samfundssatire",21654205;06957285;07130619;99122256895805763;99122987542405763;99122149157205763;99122293876605763;99122545181205763,<NA>,1542
Meyers bageri,,Bog,"alment niveau,voksenmaterialer",bagning,28031599;51763653;99122943546705763,<NA>,1695
Stalkeren,Chris Carter,Bog,voksenmaterialer,krimi,29258562;53357679;99122356031305763;99122390099505763,<NA>,1649
Vidunderlige uger,"Hetty van de Rijt,Frans Plooij,Xaviera Plas-Plooij",Bog,"alment niveau,voksenmaterialer",børne- og ungdomspsykologi,54986068;51259785;26973503;99122347790605763;99122808500805763,<NA>,1855
Grundforløb 2 - SOSU,,Bog,"fagligt niveau,voksenmaterialer",offentlig forsorg og omsorg,53270778;51937988;99122806277505763;99122734633105763,<NA>,1384
Peter Pedal på himmelfart,H. A. Rey,Billedbog,børnematerialer,sjove bøger,01651412;27889689;06402968;23305232;27105971;99122757417105763;99122767829605763,<NA>,2022
Dyster viden,Belinda Bauer,Bog,voksenmaterialer,"krimi,psykologisk thriller",28455054;51955153,<NA>,1412
Pagtens vogtere,Lynn Austin,Bog,voksenmaterialer,"bibelhistorier,historiske romaner,religiøse bøger",47275997;27404561;99123305154205763;99122734001405763;28514700,<NA>,1635
Den gamle mand og havet,Ernest Hemingway,Bog,voksenmaterialer,"allegorier,søfortællinger",38388827;51811399;28384653;38628747;22370979;01814613;05615232;53002978;07263511;05738458;28943105;01355643;01814648;99122893551205763;99123669410505763;99123649349105763,<NA>,4134
Max får en skat,Helle Dyhr Fauerholdt,Bog,børnematerialer,skønlitteratur,28296215;54257112,<NA>,2270
Hugin & Munin fortæller om Nordens guder,Erik Hjorth Nielsen,Billedbog,"folkeskoleniveau,børnematerialer","nordiske religioner. andre europæiske religioner,gudesagn,nordiske gudesagn,nordiske sagn,sagn",25829557;20568704;22252712,<NA>,1467
Karlas kamp,Renée Toft Simonsen,Bog,børnematerialer,skønlitteratur,28994869;46844106;29884811,<NA>,1492
Mordbrand,Michael Connelly,Bog,voksenmaterialer,krimi,52525586;53397069;26877490;25117867;134972815,<NA>,1589
Fatimas hånd,Ildefonso Falcones,Bog,voksenmaterialer,skønlitteratur,28656548;29897581;06856705,<NA>,1864
Få styr på din syre-base-balance,Simonne Holm,Bog,"alment niveau,voksenmaterialer",diætmadlavning,54229534;46409302;99122024882405763,<NA>,1626
"Åh nej, Holger!",Thorstein Thomsen (f. 1950),Billedbog,børnematerialer,skønlitteratur,51270959;39323788,<NA>,2035
Thomas Delaney,Tommy Heisz,Bog,"folkeskoleniveau,børnematerialer",fodbold,45944042;134596228,<NA>,1744
Frantz bliver helt stille,Katrine Marie Guldager,Bog,børnematerialer,skønlitteratur,29965234;47123771,<NA>,1708
Heksene,Roald Dahl,Bog,børnematerialer,sjove bøger,53526136;06143806;24133052;136225413;99122937181505763;99122034505405763;24154122,<NA>,1385
Intelligente celler,Bruce H. Lipton,Bog,"alment niveau,voksenmaterialer","patologisk anatomi, anatomisk embryologi og mikroskopisk anatomi",52574897;27957870;99122379761305763,<NA>,1809
Spirit animals - jaget,Maggie Stiefvater,Bog,børnematerialer,fantasy,51297113;53460259,<NA>,1585
Løver,Eva Mosegaard Amdisen,Bog,"folkeskoleniveau,børnematerialer",rovdyr,48351344;51076982;46518632;24967603;25026187;26386551;22543717;51463013;52470714;135419095;22582798;21450898;05245966;07152949;99122061678605763;99121980860805763;99122653361205763,<NA>,4985
Hvordan organisationer fungerer,"Dag Ingvar Jacobsen,Jan Thorsvik",Bog,"fagligt niveau,alment niveau,voksenmaterialer",organisation i alm.,51254066;135126659;27328865;24221075;99122949079705763;99122199644405763;99122410882405763;99124283559505763;9921324732605762;99122890814605763;9920592978305762,<NA>,1616
Fanget af geografien,Tim Marshall,Bog,"fagligt niveau,alment niveau,voksenmaterialer",historie i alm.,47822491;48991734,<NA>,2392
Dødens time,Peter James (f. 1948),Bog,voksenmaterialer,"krimi,politiromaner",51114337;39548712;25918371;26481139;51779487;99122600541405763;99122054255905763;99122529349105763,<NA>,2353
Kvinden i buret,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",27259030;50710572;46519604;26923530;46552733;52088976;28097166;28559666;27528775,<NA>,3520
Slangens gave,Lene Kaaberbøl,Bog,børnematerialer,fantasy,24199282;29685444;25912764;23790777;28606931;23965216,<NA>,2420
Alex,Pierre Lemaitre (f. 1951),Bog,voksenmaterialer,"krimi,politiromaner",50978478;62600306;45442446;51302796;53702139;52382483,<NA>,1562
Mikkel Hansen,Tommy Heisz,Bog,"folkeskoleniveau,børnematerialer",håndbold. langbold m. m.,46399862;46444949;29945691,<NA>,2925
Dyr,,Billedbog,børnematerialer,pegebøger,38805533;55110298;46455223;53017150;39021625;54068832;26170761;27572642;51671260;29223688;136038672;28313284;50754375;25962230;24775410;50712060;21805033;21170895;99122680694505763;99122233279505763;20119489;25892062;99122779007105763;99121991165605763;41646934,<NA>,6554
Hesten,Emma Alnor,Bog,"folkeskoleniveau,børnematerialer",heste,51886690;54471688;54178565;27893252;51921437;43981501;45173186;07611110;99122060687505763,<NA>,1976
Sværdets forbandelse,Peter Gotthardt,Bog,børnematerialer,fantasy,28838883;29563365;23077477;99122516601705763,<NA>,1605
100 første dyr,,Billedbog,"førskoleniveau,børnematerialer","værker af blandet indhold,løft og kig,pegebøger",50625303;54623682,<NA>,1724
Broderi,,Bog,"alment niveau,voksenmaterialer",broderi,51896904;25967844;25747798;43475991;99122759318505763;99122818212105763,<NA>,1741
Mellem frygt og håb,,Bog,"alment niveau,voksenmaterialer",værker af blandet indhold,47307821;135516309,<NA>,1400
Lillebror og Karlsson på taget,Astrid Lindgren,Bog,børnematerialer,skønlitteratur,27006167;01649000;22256815,<NA>,1370
Metoder i samfundsvidenskaberne,,Bog,"fagligt niveau,voksenmaterialer",teori. metodik,46125703;52185572;99122670786305763;99122687098505763,<NA>,1575
La familia grande,Camille Kouchner,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",39491958;38665839,<NA>,1367
Kan du gætte hvad jeg er?,Inger Tobiasen,Billedbog,børnematerialer,skønlitteratur,28644760;21550965;26263948,<NA>,1668
Farlige penge,Ken Follett,Bog,voksenmaterialer,spænding,52564069;27710468;23927772;23222876;20475080,<NA>,1821
Flodhest,Henrik Enemark,Bog,"folkeskoleniveau,børnematerialer",hovdyr,53793770;51875222;23117320,<NA>,1982
Rigets frue,Maria Helleberg,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",39317567;23149109;99122347656905763;23708507;26258758;23441489;9920733329105762;99122968579105763;99122574625905763,9788711450116,2376
Farven lilla,Alice Walker,Bog,voksenmaterialer,historiske romaner,53577083;06336000;06120393;06597866;99122159352905763,<NA>,1389
Kalak,Kim Leine,Bog,voksenmaterialer,skønlitteratur,55126011;26599156;26989876,<NA>,2470
Det smaragdgrønne atlas,John Stephens (f. 1972),Bog,børnematerialer,fantasy,51610601;28888228;28898193,<NA>,2433
Kantslag,Dorthe Nors,Bog,voksenmaterialer,skønlitteratur,51043138;27413072;52633338;99122282736005763,<NA>,1667
"Bornholm, Bornholm, Bornholm",,Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter uden for københavn,27691137;48330088;99123542746205763,<NA>,1420
Den stumme død,Volker Kutscher,Bog,voksenmaterialer,"krimi,politiromaner",29190518;46270169;99122535241105763;99122833441205763,<NA>,1800
Tunu,Kim Leine,Bog,voksenmaterialer,skønlitteratur,27969658;28512252,<NA>,1380
Kort og godt om Hamburg,Alexandra Carsten,Bog,"alment niveau,voksenmaterialer",enkelte tyske lokaliteter,61353798;53307809;51668472;99122786752405763,<NA>,2685
Astrid & Veronika,Linda Olsson,Bog,voksenmaterialer,skønlitteratur,27384005;28063644;52310342;28865694;52102537;44482541;29990085;99122926740005763;45225240,<NA>,2295
Leg med din hund,Christina Sondermann,Bog,"alment niveau,voksenmaterialer",hunde,26982294;29229112;27135242;99122529204305763,<NA>,2173
Søster,Rosamund Lupton,Bog,voksenmaterialer,"psykologisk thriller,spænding",29167982;52441811;29862443;99122124584705763;06116957,<NA>,1655
Bornholm,Lisette Agerbo Holm,Bog,"folkeskoleniveau,børnematerialer",enkelte lokaliteter uden for københavn,52874602;51114388;38595814;50639800;26011469;52474507;46543122;26883822;26210968;23545683;27728626;29575576;26912466;25266250;21298751;25103297;06128289;06608647;01206885;26352320;01797085;06855229;43449532;01225715;04969596;20227672;26489288;20586524;04969618;06815065;04854039;05293383;99121943953605763;28779739;41136111,<NA>,5892
Sophies valg,William Styron,Bog,voksenmaterialer,skønlitteratur,48134939;21862185;06597955;05767105;05561299,<NA>,1381
Garmanns sommer,Stian Hole,Billedbog,børnematerialer,skønlitteratur,28653336;27145043;44749009;99122431879705763;99121959332705763,<NA>,1995
Nattehimlen,Carole Stott,Bog,"folkeskoleniveau,børnematerialer",solsystemet. rumforskning,46233018;53049095;27426018,<NA>,2289
Olivia,Erik Vierø Hansen,Bog,børnematerialer,skønlitteratur,51021827;48742416;23083574;42566373;26802512;99123524548805763;04424557;03844005;99122359404305763,<NA>,1929
Ulf og den fæle lugt af lig,Sandra Schwartz,Bog,børnematerialer,skønlitteratur,46846435;48219497,<NA>,1563
Snagebogen,Lisa Aisato,Billedbog,børnematerialer,rim,54951574;62322802,<NA>,1385
Plastik,Troels Gollander,Bog,"folkeskoleniveau,børnematerialer",plastindustri. kunststoffer,47558999;62214376;99121926407905763,<NA>,1499
Slaget i labyrinten,Rick Riordan,Bog,børnematerialer,fantasy,51669827;28988273;99122752818305763,<NA>,1779
Efter skælvet,Haruki Murakami,Bog,voksenmaterialer,skønlitteratur,27259820;135673625,<NA>,1642
Barbapapas rejse,"Annette Tison,Talus Taylor",Billedbog,børnematerialer,skønlitteratur,29479275;25447891;05017882;99122642234305763,<NA>,1365
Dyrelort,Ann-Charlotte Ekensten (f. 1970),Bog,"folkeskoleniveau,børnematerialer",alm. og sammenlignende fysiologi,38910175;53403360;99121965955705763,<NA>,2194
Goldstein,Volker Kutscher,Bog,voksenmaterialer,"krimi,politiromaner",29814783;46575652;45420280;45358887;46268792,<NA>,1830
Vrede,Anna Fiske,Billedbog,"folkeskoleniveau,børnematerialer",emotionspsykologi,46063082;38800396;29990050;25028600;99122624629705763,<NA>,3022
Nye mål,Marcia Willett,Bog,voksenmaterialer,skønlitteratur,24514463;25102843;29838046;24748537;99122428400705763,<NA>,2719
Isbjørne,Henrik Enemark,Bog,"folkeskoleniveau,børnematerialer",rovdyr,46444698;26002281;52433460;21434884;05410754;99121975941405763,<NA>,2338
Hvid jul,Claus Dalby,Bog,"alment niveau,voksenmaterialer",enkelte arter af genstande,52023416;24334198;24834034,<NA>,1368
Drømmen går i opfyldelse,L. M. Montgomery,Bog,børnematerialer,skønlitteratur,52655749;07135947;07085516,<NA>,1582
Han er her endnu - Emil fra Lønneberg,Astrid Lindgren,Bog,børnematerialer,"landliv,sjove bøger",27409997;01185306;136159887;06769357,<NA>,1646
Politikens visuelle guide - Kroatien,"Leandro Zoppè,Boz?idarka Boza Gligorijevic´,Graeme Harwood",Bog,"alment niveau,voksenmaterialer",kroatien,29238154;25601831;99122925306305763;99122649250305763,<NA>,1400
Kenneth Bøgh Andersens Antboy - Operation skæbnespil,Kenneth Bøgh Andersen,Bog,børnematerialer,"sjove bøger,spænding",28782934;26588731,<NA>,2236
Forrådt,Danielle Steel,Bog,voksenmaterialer,skønlitteratur,29613397;24911861;46233549;28975279;51399382;28159382;27743943;08821216;43112414;21102024;99122090750705763;99122379752405763;53305946;99122330342805763;99122585421305763;99122647226205763,<NA>,3167
Tandlægen,Tim Sullivan,Bog,voksenmaterialer,krimi,135286184;27180213,<NA>,2242
Is,Ulla-Lena Lundberg,Bog,voksenmaterialer,skønlitteratur,50776204;29961026;38419676;47908019;51724097;25278232;24191885;22696939;45296474;05003032;99121948783705763;22741438;9920755971705762;124264685;99121949644305763;99122696325205763,<NA>,3682
Med tiden,Anne Hjælmsø,Bog,voksenmaterialer,skønlitteratur,62655798;07034733;29708657;136169173;99122390057905763,<NA>,1422
Sorgenfri,Jo Nesbø,Bog,voksenmaterialer,krimi,25932625;52636760;27587690;25087089;43038346;99122896870005763;99122741631705763;25430115,<NA>,2452
Store katte,Henrik Enemark,Bog,"folkeskoleniveau,børnematerialer",rovdyr,48152252;24568490;27917615;23885379;22588044;20345802;99122770934905763,<NA>,1973
Mit lykkelige land,Alexandra,Bog,"alment niveau,voksenmaterialer","danmarks historie,erindringer",54942826;46742702,<NA>,1509
Pirat,Jørn Jensen (f. 1946),Bog,børnematerialer,skønlitteratur,29189145;51149068;62427736;46624661;61529322,<NA>,1872
Når de døde vågner,Steffen Jacobsen (f. 1956),Bog,voksenmaterialer,"kriminalitet,spænding",28944438;50971406,<NA>,2120
1. verdenskrig,Carsten Bo Mortensen,Bog,"folkeskoleniveau,børnematerialer",1914-1918. 1. verdenskrig,29975116;46441435;27048501,<NA>,2022
Monsterpest,,Billedbog,børnematerialer,skønlitteratur,27434916;62810319,<NA>,2132
Bondegården,,Billedbog,"førskoleniveau,børnematerialer","landbrug. skovbrug. havebrug. fiskeri,billedordbøger,pegebøger",39509504;27662331;48268013;46455207;134640553;135737801;27694985;29751692;27284744;99122025753905763;99123863332705763;99122247493405763;99122012342005763,<NA>,4721
